OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	0.029002	0.053696	0.024694	str	G4	395.258
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	0.053696	0.44118	0.38748	NOTE	A4	433.772
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	0.44118	0.55002	0.10884	NOTE	F#4	362.478
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	0.55002	0.70095	0.15093	NOTE	A4	431.055
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	0.70095	0.8127	0.11175	NOTE	B4	478.806
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	0.8127	0.9941	0.18141	NOTE	D5	575.453
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	0.9941	1.1015	0.10739	NOTE	E5	639.763
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	1.1015	1.1305	0.029025	ct	G5	767.476
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	1.1305	1.2713	0.14077	NOTE	F#5	720.772
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	1.2713	1.3859	0.11465	NOTE	D5	578.575
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	1.3859	1.5151	0.12916	NOTE	E5	658.619
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	1.5151	1.5615	0.04644	ct	G5	804.111
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	1.5615	1.6878	0.12626	NOTE	F#5	726.051
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	1.6878	1.8141	0.12626	NOTE	E5	659.839
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	1.8141	1.9215	0.10739	NOTE	B4	484.914
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	1.9215	1.9853	0.063855	ct	C5	537.625
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	1.9853	2.0767	0.091429	NOTE	B4	487.085
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	2.0767	2.219	0.14222	NOTE	D5	580.541
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	2.219	2.3104	0.091429	NOTE	A4	423.267
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	2.3104	2.4729	0.16256	NOTE	C5	514.086
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	2.4729	2.5179	0.044966	ct	B4	502.979
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	2.5179	2.5861	0.068209	NOTE	A4	431.846
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	2.5861	2.7327	0.14658	NOTE	A4	436.123
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	2.7327	2.8952	0.16254	NOTE	A4	434.081
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	2.8952	3.0259	0.13061	NOTE	B4	482.316
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	3.0259	3.1826	0.15673	NOTE	D5	581.701
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	3.1826	3.2914	0.10884	NOTE	E5	655.865
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	3.2914	3.3379	0.04644	ct	G5	802.924
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	3.3379	3.4714	0.13351	NOTE	F#5	724.913
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	3.4714	3.5788	0.10739	NOTE	D5	580.568
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	3.5788	3.6978	0.119	NOTE	E5	657.003
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	3.6978	3.7341	0.036281	ct	G5	778.638
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	3.7341	3.8545	0.12045	NOTE	F#5	727.96
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	3.8545	4.1999	0.3454	NOTE	D5	581.047
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	4.1999	4.3915	0.19156	br	BREATH	0
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	4.3915	4.5192	0.12771	NOTE	A4	431.577
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	4.5192	4.6193	0.10014	NOTE	B4	489.347
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	4.6193	4.6454	0.026122	shake	A4	464.179
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	4.6454	4.6919	0.04644	shake	C5	529.233
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	4.6919	4.7978	0.10594	NOTE	A4	433.324
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	4.7978	4.9284	0.13061	NOTE	F#4	362.761
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	4.9284	5.0939	0.16544	NOTE	A4	432.953
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	5.0939	5.1795	0.085624	NOTE	B4	486.282
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	5.1795	5.3537	0.17415	NOTE	D5	578.593
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	5.3537	5.4567	0.10304	NOTE	E5	653.663
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	5.4567	5.5104	0.053696	ct	F#5	761.688
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	5.5104	5.6366	0.12626	NOTE	F#5	723.803
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	5.6366	5.7513	0.11465	NOTE	D5	582.399
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	5.7513	5.8717	0.12045	NOTE	E5	660.822
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	5.8717	5.9196	0.047891	ct	F#5	753.113
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	5.9196	6.0227	0.10304	NOTE	F#5	725.787
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	6.0227	6.0517	0.029025	ct	F#5	738.229
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	6.0517	6.1722	0.12045	NOTE	E5	662.144
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	6.1722	6.2795	0.10739	NOTE	B4	486.129
